severity,area,issue,where,evidence
حرجة,تواصل,واتساب يفتح رقماً إماراتياً +971586634710,كل الصفحات / الفوتر,قصاصة RUKN_QA_WA وDNI فارغ
حرجة,تواصل,أزرار الاتصال تُحوّل إلى href="#",كل الصفحات,preg_replace tel وHIDE_CALL=true
حرجة,تواصل,نموذج اتصل بنا لا يُرسل, /contact-us/,form action="#"
حرجة,رئيسية,عدادات 0 خدمة و0 مدن,الهوم,ودجت rukn_stats غير معبأة
حرجة,رئيسية,نصوص خام [[عدد المشاريع]] و[[سنة التأسيس]],الهوم عربي وجوال,ودجت rukn_stats؛ إنجليزي [[projects]] [[founded]]
حرجة,سيو,404 تعيد توجيه 302 إلى الرئيسية أو /en/,أي مسار وهمي,Polylang browser + this-page-does-not-exist-xyz
حرجة,خدمات,أرشيف /services/ يبتلع صفحة الخدمات وH1 إنجليزي services,/services/,تعارض CPT مع الصفحة 7463
حرجة,خدمات,معظم /services/{slug}/ إلى الرئيسية رغم وجودها في السايت ماب,خريطة services,sound-insulation وlandscaping → 302 /
حرجة,لغات,Polylang يوجّه حسب لغة المتصفح إلى /en/ شبه فارغة,/en/,browser=true و3 مقالات فقط
حرجة,قالب,تذييل KAYAN WEB WhatsApp ورسالة كيان ويب,كل الصفحات,نص ظاهر في الفوتر
عالية,قالب,علم الإمارات 🇦🇪 وأعلام خليجية على موقع قطري,/about/ والتذييل,نص من نحن + عرض بصري للفوتر
عالية,سيو,Schema محلي مزدوج ومتناقض (Rayan vs الدوحة، هاتف فارغ، ساعات 24),الهوم JSON-LD,Rank Math + LocalBusiness القالب
عالية,سيو,Title مقال التسربات فيه إيموجي ورقم 31553076 وH1 مزدوج,مقال كشف التسربات,Rank Math title
عالية,ثقة,تقييم 99.1% ثابت على كل مقال,قوالب المقال,ودجت تقييم
عالية,لغات,ترجمة str_replace تكسر الإنجليزية و/en/ يبقى عربياً,/en/ ومقالات EN,محتوى عربي في /en/ وQuestions asked
عالية,قالب,صور leakage.webp لخدمات غير التسرب,CPT ومسودات,سايت ماب العزل/مجاري/صوت
عالية,تنقل,روابط مدينة *-doha تُخطف إلى صفحة المدينة,قصاصة city suffix,roof-insulation-doha → services-in-doha
عالية,رئيسية,show_on_front=posts يظهر تخزين أثاث كدليل,الهوم بلوك المدونة,إعداد WP
متوسطة,قالب,كلاسات YourColor وtextdomain yourcolor,CSS/PHP,بقايا القالب
متوسطة,قالب,شعار يعتمد data-loader-src (يظهر مع JS),هيدر/فوتر,YourColor--Theme--image — مؤكد بصرياً أنه يظهر
متوسطة,ثقة,تويتر 404 وفيسبوك melsaadgroup,sameAs,فحص HTTP
متوسطة,ثقة,ادّعاءات 15 سنة / معتمدون / ضمان 10 سنوات / طوارئ غير متسقة,هوم واتصل بنا,نصوص ودجت
متوسطة,تغطية,الباحث ينقص الشمال والظعاين مقابل قسم المدن,ودجت finder,8 مقابل 9 مدن
متوسطة,صفحات,FAQ الصفحة عن نجارة وأرضيات لا يطابق FAQ الهوم,/faq/,محتوى قديم
متوسطة,سيو,لا x-default وSearchAction غير صالح,head,hreflang وJSON-LD
متوسطة,وصولية,لا skip-link واستبدال tel يضر لوحة المفاتيح,القالب,
منخفضة,تسمية,qa-logo-foter خطأ إملائي,فوتر,اسم الملف
منخفضة,قوائم,بنود القائمة بعناوين الصفحات الكاملة,هيدر,من نحن — ركن التطور في قطر
منخفضة,سيو,locale إنجليزي en_GB وعلم بريطانيا,Polylang,
